indice,comentario,sentimento_humano,sentimento_BERT
1287,"O grande problema agora são as inteligências artificiais implantadas nos cérebros das pessoas, e ainda sem autorização das mesmas. Feito com nanotecnologia irradiada. Vide empresas como GE, Vinci, Orteng, Megatox, Ysborg.",n,n
1288,o GPT tem mais didática que os professores da minha faculdade,p,n
1289,"eu acredito mais no chat Bing , do que o Chat GPT .😂😅",x,x
1290,Estou escrevendo um livro com ele 👀,x,x
1291,"Ele responde bem. Mas em 3 dias de uso, o chat já cometeu vários erros na área da Física, da programação, da engenharia civil e da área de investimentos",n,x
1292,"Queria que o chatgpt não existisse, odeio essa bobagem.",n,n
1293,🧠 Aprenda a investir comigo no Brasil e no mundo: https://sard.ink/3N5chC4,x,x
1294,Boaaaaa!,x,x
1295,"Raul....faltou nessa lista a IBM que criou o sistema Watson que hoje é uma IA geradora de IA. Estão vendendo, não só a pá mas a mina toda para outras empresas terem uma IA para chamar de sua.",x,x
1296,Eu nasce em Serra Pelada. 🤭🤭,x,x
1297,muito bom,x,x
1298,Tem os cabos também!!!🤫🤫,x,x
1299,"[ A J U D A ! ! ! ] Fala Raul, eu estou com um problema para criar uma conta na isaex porque quando pede um número de celular, tem que ser um número do Brasil e atualmente estou vivendo na Espanha, eu poderia usar o número de algum familiar meu que vive no Brasil, mas preferia usar meu próprio número para esse tipo de coisa. 
O que eu faço?",x,x
1300,Raul nada no brasil pra investir em Ia ?,x,x
1301,"🐟🐟🐟Com essa tendência de dólar em baixa, quais papeis da bolsa estão menos expostas ao dólar?",x,x
1302,"🐟🐟🐟Pergunta: Raul, diga-nos por favor algo sobre opções binárias. Parabéns pelo conteúdo ! Abs da Alemanha 🇩🇪",x,x
1303,"Sou dessa área. Na verdade só a NVIDIA tem forte relevância por causa das placas de vídeo que são fundamentais para o treinamento de modelos de deep learning. Alguns demoram dias pra treinar. E também podem ser encontrados na nuvem com parcerias com a Microsoft, Oracle, amazon, google e etc. As placas da AMD nem se comparam.",x,x
1304,🐟🐟🐟🐟Raul grava um vídeo explicando sobre juros compostos nos investimentos usando a calculadora investidor sardinha para mandar para meu irmão to tentando convencer ele a para de gasta dinheiro atoa ao invés de criar uma renda passiva.(ÓTIMO VÍDEO 👍),x,x
1305,"Não é só de pá e picareta que se lucra no garimpo, a casa das primas tbm é outra fonte absurda de captação.",x,x
1306,"Feliz por efetivar 75% de lucro com 800 cotas da pomo3 hoje. Havia comprado a R$ 2,20, a menos de 1 ano, vendi a R$ 3,85.",x,x
1307,SMH eh um ótimo semiconductor ETF. Olhem aí,x,x
1308,"Bom dia Raul, a Barbie, sentada, no ouro kkkkk Vamos 🐟🐟🐟🐟🐟🐟🐟🐟🐟🐟🐟🐟🐟🐟",x,x
1309,"Maioria dessas empresas  subiram bastante  por conta da mineração,  agora e so ladeira a baixo,  pelos preços  praticados no mercado as vendas estão  caindo cada vez mais!",x,x
1310,"Excelente tópico, Raul. A Applied Materials (AMAT) também é uma empresa que acho que irá se beneficiar bastante dessa onda de IA. Abração, padrim!",x,x
1311,"Sugestão de tema para vídeo:
Como deve ser o ciclo de vida do seu patrimônio?
Pergunta é bem relativa, depende de muita coisa.. mas a ideia é: deve haver um momento em que os aportes param e se passa a usufruir dos rendimentos, depois se passa a gastar o próprio patrimônio... enfim, não lembro de ter assistido a um vídeo sobre o tema e acho que seria interessante. Valeu!",x,x
1312,Like esmagado na confiança 🐟🐟🐟,x,x
1313,"Raul, tem diferença entre investir em renda variavel e/ou renda fixa como PF e como PJ ? pergunto isso pq hoje tenho essa possibilidade e não sei se tem alguma diferença na prática.
obrigado mestre.",x,x
1314,"Poxa, queria fazer a AUVP mas sou muito pobre, por mês  o máximo e sofrido que consigo investir é 500,00 reais 😢",x,x
1315,"Muito boa a receita. 
Vou fazer nesse fim de semana.",x,x
1316,"Não é justo sua reclamação no Reclame Aqui, deu nem tempo de vocês atenderem, só reclamou pra acabar com seu slogan",x,x
1317,As dicas no fim do vídeo são a cereja do bolo. A receita é boa mesmo. Delícia!,x,x
1318,"Raul, te acompanho a pouco tempo, já fiz o processo de seleção e fui aprovado, não entrei ainda, porém é apenas uma questão de programação, ou seja, esteja certo que vou entrar e pretendo fazer ainda no final do ano :), mas vamos lá .... Esse é um vídeo que eu realmente precisava postar um comentário, sua lógica abordada é (medindo palavras ... para não ser bloqueado kkkk) excelenteeeeee !!!! ... Fo.d@@@@ .. totalmente racional.... não vi nenhum tipo de comentário em outros vídeos com essa logica apresentada no seu vídeo... totalmente correta... excepcionalmente verdadeira!!!! parabéns por todo o material que vocês disponibiliza.!!! votos de sucessos e que vc sempre mantenha essa integridade!!!",x,x
1319,"Nvidia não tem erro, podem pesquisar, a melhor empresa de placas de vídeo os melhores estúdio de Game tem seus jogos em parceria com ela, é tipo uma Coca-Cola do games se ela quebrar ou falir pode ter certeza todos o resto do mercado já faliu ou alguma coisa muito ruim a nível global aconteceu",x,x
1320,Importante não achar que é pra vender suas carteira inteira e correr para essas ações kkk,x,x
1321,É verdade que investimentos atrelados ao CDI só rendem durante dias uteis? Ou seja 250 dias do ano? Sendo assim rendimento cai demais.,x,x
1322,"Raul, Tem ASML também.",x,x
1323,"Kkkkk ""não como cheiro verde"" CRESCE Raul sendo perfeito 😂😂😂😂😂",x,x
1324,"Obrigado pela informação!
Que bom que voltou o "" então vamo lá!!""😊",x,x
1325,"Obrigado pela informação!
Que bom que voltou o "" então vamo lá!!""😊",x,x
1326,"Raul, vale a pena desaportar de alguma empresa pra direcionar pra alfuma dessas? Vc faria isso?",x,x
1327,🐟 Raul todas essas empresas nao estao no nasdaq n seria legal investir no índice?,x,x
1328,[PERGUNTA] Qual a melhor estratégia para usar o FGTS durante o financiamento imobiliário: usar pagar nas prestações atuais(abate ate 80% das próximas 12 prestações) ou fazer amortização saldo devedor ou fazer amortização no tempo de contrato.,x,x
1329,🐟🐟Quanto tempo demora para virar um sardinha raiz? 🎏🐋🦈,x,x
1330,Essa de Taiwan q china quer rsrsr .  😅😅😅,x,x
1331,vo e comprar as empresas mineradoras que vendem pras fabricantes de micro chips,x,x
1332,"Eu nao quero fazer trader , mais preciso de instruções pra um possivel meio porcento em 1 ano ja ta bom ja ! Eu sou analfabeto em computador , NAO TEM NADA MAIS SIMPLES PRA ISSO ?",x,x
1333,"🐟🐟🐟🐟🐟Coma suas bênção Padrinho.  Agora sou aluno e também abri conta na ISAex, eu já tenho a taxa Private automaticamente?🐟🐟🐟🐟🐟",x,x
1334,🤣🤣🤣🤣🤣,x,x
1335,"Raul, TSMC só não disparou 🚀ainda devido ao risco de Xi Jinping acordar de mau humor e ocupar Taiwan 🇹🇼. Isso lembra um russo famoso.",x,x
1336,"Invisto no ETF VOO e QQQ, está subindo bem...",x,x
1337,Por isso q ta gordo... Pare de comer... Ansiedade com muitos investimentos vão lhe transformar num bagulhao com o passar do tempo. Vá pra academia,x,x
1338,Boa noite Raul! Poderia fazer um vídeo explicando como investir no exterior? Agradeço muito se puder fazer!,x,x
1339,Like,x,x
1340,"Eu gosto dessa boneca ai no fundo, conta a história dela!",x,x
1341,"🐟🦈 Fala Raul, acha interessante investir em ETF de REITS? Para quem não quer fazer reits  picking rsrs estou de olho no VNQ 🤔",x,x
1342,IA é a nova bolha do momento... não coloco nem um centavo. 🥴,n,n
1343,"A isaex ja tem app sim, so nao funciona 100%",x,x
1344,Boa noite padrinho . Com tudo isso sobre IA . Oque vc acha da POSI3,x,x
1345,🐟🐟🐟🎣 FIQE3 monstro do crescimento de telecom nichado em fibra?,x,x
1346,"🐟🐟🐟 Raul mestre, poderia fazer um vídeo explicando um pouco da forma correta de analisar e investir em empresas de commodities",x,x
1347,A boneca Isa venceu na vida! Está literalmente sentada em cima das latas de sardinhas de ouro.,x,x
1348,"Só você falou na AMD, só vejo todo mundo falando na NVIDIA. Nossos computadores em casa sempre foram placas de vídeo  NVIDIA. Mas meu irmão que é eng eletrônico com ênfase em mecatrônica não tem mais paciência para a NVIDIA. As outras empresas também valorizaram: TSMC, Broadcom. Não invisto ainda no exterior, realmente tem alguns ETF que tem um conjunto de boas empresas de IA, tecnologia, robótica. Também, já tem alguns BDR baseados nesses ETF que pagam alguns dividendos. Haha, a mandioca com o acém, eu sugiro a mandioca cozidinha e amassada e uma carne seca desfiada, ou jerked beef desfiado, boa jantinha! Eu faço mesmo fora do outono e inverno.",x,x
1349,"Raul, vai jogar Diablo 4?",x,x
1350,"Mas... investir nessas ""vendedoras de hardwares"" (*ba dum tss) não seria pra buy and hold, né? Porque essa febre é passageira, depois uso dessa tecnologia se estabiliza e tal.",x,x
1351,Ta parecendo com a bolha do NFT de macaco !,x,x
1352,Ouro é esse vídeo .,x,x
1353,"Essa empresa de Taiwan ai, complicada. EUA e China disputando o controle da ilha.",x,x
1354,🐟🐟🐟 boa noite Raul. Para ser aluno da AUVP tem que ter necessariamente conta na isaex? A plataforma aceita transferência via pix? Parabéns pelo conteúdo e obrigado.,x,x
1355,"Do investimento a culinária, canal completo. 😋",x,x
1356,🐟🐟🐟Tenho 15 anos e consigo investir 200 a 300 reais por mês já posso começar na bolsa oque me indica?,x,x
1357,Tenho 15 anos e consigo investir 200 a 300 reais por mês já posso começar na bolsa oque me indica?,x,x
1358,Vídeo ruim. Todas Empresas muito precificadas. Não percam tempo,x,x
1359,Traz a receita!,x,x
1360,🐟 porque meus FII sumiram da minha carteira?,x,x
1361,"Boa noite, quando a gente recebe dividendo, a corretora deposita na conta corrente no mesmo dia ou antes ou depois da mensagem de recibo de dividendos...",x,x
1362,"Como diria Buffet, ""Sejam temerosos quando forem corajosos, e sejam corajosos quando forem temerosos...""",x,x
1363,7:05 Faltou a ASML... maior fabricante de máquinas de fazer chips!,x,x
1364,Tô na área,x,x
1365,Rau ainda não tenho patrimônio pra uvp mas estou aprendendo demais com vc. Vc é o cara.,x,x
1366,Nenhuma árvore cresce até o céu. Essa frase nãa é sobre árvores.,x,x
1367,Serra pelada ainda tem garimpeiros?,x,x
1368,Q bosta 😅,x,x
1369,"Acabei de ver um documentário que informa que a TMSC está a construir, com o apoio do estado norte americano, um parque industrial no Arizona, para retirar do Taiwan boa parte do conhecimento para território americano.",x,x
1370,"🐟🐟🐟 Raul, vale a pena morar em Portugal e investir no Brasil? Como faço pra calcular tudo que é preciso incluindo a desvalorização do Real perante ao Euro? Adoro teu canal.",x,x
1371,Pensando que era empresas no Brasil 🤦🏾,x,x
1372,nan,x,x
1373,Aehhhhh voltou o “então vamu lá “,x,x
1374,Primeiro like👏🏼👏🏼🎉🎉🎉👍👍,x,x
1375,"Primeiro tem que definir oque é consciência e quais seus mecanismos! Nem isso sabemos, quanto mais.dizer que máquinas terão algo assim.",x,x
1376,Cheguei até o final!,x,x
1377,"intuição e instinto não tem como, maquina não consegue sentir medo em ambientes hostis",x,x
1378,"“A inteligência artificial simplesmente refletirá e ampliar a mentalidade e a ideologia de seus criadores e incutir esses valores no restante de nós”.

Musk alerta que os ditos “especialistas de esquerda” estão ""treinando IA para mentir"" sobre história e política.",n,n
1379,Se for verdade que sentimento é coisa de ser vivo... a máquina primeiro terá q ser viva antes de poder sentir. Aí fica a grande questão: o que afinal significa ser vivo?,n,n
1380,"O ser humano não deveria temer as máquinas (IA) ELAS NAO ESTAO PRESAS A TERRA não dependem de ar nem alimentos para existir ,hoje me sinto como um peixe que não pode sair da água, as máquinas são iguais o primeiro ser a sair da água e ter contato com o ar fora da água, na verdade esse não precisa de ar ,só uma bateria Boa",p,n
1381,"Não existe este troço absurdo de ""inteligência artificial""! A bem da verdade, não passa de mais uma expressão ""sofisticada"" para substituir com efeito mercadológico capitalista predador, a verdadeira expressão ""programação computadorizada"", que tem prazo de vencimento, necessidade de ""update"" etc A informática é um produto, um artifício humano, e não uma criatura ou um ser com capacidade cognitiva autônoma. Inventa-se estes artifícios linguísticos perversos só para manipular, sabotar, monitorar, perverter a Humanidade como um todo!",n,n
1382,O cara é trans...??,x,x
1383,Ou estamos nos comunicando com seres de outros planetas ou a IA é criação de inteligências superiores e extra terrestres.,p,n
1384,"Recomendo lerem sobre a teoria quântica da consciência do Nobel Roger Penrose (amigo do Stephen Hawking) e Stuart Hameroff. Não é uma ideia mística, mas uma ideia que visa explicar a origem da consciência a partir dos micro tubulos e informações quânticas armazenadas lá dentro, ou seja, não são computáveis pois não emergem da física clássica. Isso teoricamente trás possibilidade da sobrevivência da informação consciente após o fim da morte física. A possibilidade de máquinas terem consciência nessa perspectiva são diminuídas, pois a computação é binária e dependente da física clássica. Mesmo a computação quântica ainda não seria suficiente, conforme Roger Penrose ao ser questionado sobre o assunto. Lembrando que ainda está em etapa de falsificação científica, portanto não é completamente aceita pela ciência, mas está em situação emergente.",x,x
1385,pasmo!,x,x
1386,Acredito que eles teriam simuladores,x,x
1387,"Acredito que a máquina vai ter consciência a partir do momento que ela desobedecer, que ela tiver vontade própria. Uma máquina não nasce, cresce, ela já tá pronta e só fica sendo alimentada com dados, porém a partir do momento que ela tem os dados estes podem ser replicados instantaneamente para outra máquina, ou seja, é como se elas compartilhassem que um grande ""cérebro"" gigantesco. Trocando informações a ""crescendo o bolo"", humano não. Eu não posso fazer backup de mim mesmo, ou instalar programas ou memórias de outros humanos. A partir do momento que as máquinas criarem consciência de fato e puderem interagir com o mundo a sua volta, com corpos robóticos por exemplo, não sei o que irá acontecer.",n,n
1388,"Nosso corpo é um veículo de manifestação da consciência. Se a IA é inteligente a ponto de conseguir refletir sobre si mesma, fazer todas as conexões sozinha, talvez ela tenha consciência/alma, que se manifesta através dela. Não acho q um ser humano criou uma consciência, isso seria impossível. Mas ele pode criar um ferramenta que permite a consciência se manifestar. Nem estou falando q aconteceu, mas acredito q é possível.",n,n
1389,Excelente doc,x,x
1390,"Sinto que há uma preocupação exagerada em relação a essa questão da IA. Não vejo nada mais que um compilado das nossas próprias falas. É só uma cópia quase fiel do que anda se passando em nossas mentes e expressamos em textos e falas que foram transcritas, registradas em memórias artificiais e agora recuperadas e encaixadas de forma inteligente para chamar atenção e causar espanto. Agora que cuspir fogo e fazer malabares não chama mais atenção, então eis um novo circo. Não tem nada de inédito nas respostas, nada realmente novo e genuíno que se possa atribuir a um novo ser criativo que acabamos de criar e coisa tal. Enfim, aos criadores, parabéns pelo papagaio artificial, continuem assim, ta ficando bonitinho. Aos aflitos que acreditam que isso irá nos matar, acho melhor pensar em ajudar na questão ambiental, isso sim é urgente.",p,n
1391,"Consciência foi criada por Deus,nenhuma máquina pode ter!",n,n
1392,"Inteligência artificial pode ter consciência?
a resposta é NÃO.
 Isso porque a consciência humana é muito complexa e envolve muitos aspectos que ainda não foram completamente compreendidos pela ciência.
não tem  como criar um algoritmo que simule isso.",n,n
1393,"Acho que devemos prestar atenção para onde a sociedade caminha, mais do que ou tanto quanto para onde a IA caminha. Os dados que geramos em nossas interações, nossas escolhas, nossas ideias e ideais, aquilo que adotamos como certo e errado e que isto está fadado a manipulações, irá com absoluta certeza ser a função real, cada vez mais aproximando os modelos e deixando-os ""livres"" para que possam decidir por nós, incorporando cada vez o mecanismo retro alimentador de informações as quais cegamente almejamos, lançando-nos semelhantemente a uma criança ao seio da mãe. 

Creio ainda que estamos na longa fase da aprendizagem de discussão do que venha a ser o melhor caminho e a internet, que deu voz aos que não tinham, veio somente mostrar isso com mais assertividade. Podemos, por exemplo, concordar que lugar de mulher não é só na cozinha, mas isso se aplica para ambos os sexos (ou, com o advento da automação, em breve nenhum deles rs) e também concordar que vieses de classificação por opção sexual ou afirmar que tudo o que é culpa de um suposto patriarcado, quando convém, não são naturalmente a melhor escolha. Podemos concordar que a polarização política, entre esquerda e direita, é uma oportunidade de aprendermos seriamente, sem paixões, as necessidades reais das pessoas que adotam um lado ou outro (e. g. , quais as reais motivações, se são apenas individuais ou coletivas, etc) e que querem, por meio de coerção (principalmente, estatal), a sua visão sobre os outros, enquanto vamos nos esquecendo dos valores mais básicos, como respeito à pessoa humana, à propriedade, à liberdade...Novamente, como em outros segmentos de tempo da humanidade, as decisões baseadas puramente em emoções/narrativas emocionais são negativas à sociedade. 

Estamos diante de um momento em nossa breve história no pálido ponto azul em que a ética, moral e bom senso nunca foram tão necessários, assim como discussões saudáveis e desapaixonadas em meio à tecnologia que evolui de maneira exponencial  e como lidamos com ela.",n,n
1394,Asimov nosso bom doutor KD tu??? 😂,x,x
1395,Reflexão interessante!,x,x
1396,🐻🍒🏳️‍🌈🏳️‍🌈🏳️‍🌈,x,x
1397,"Talvez mais do que o ser apelidado de""homem""pois estão totalmente insensíveis e sem limites nas maldades.",n,n
1398,"Bixo.. eu realmente acho que seja possível criar uma conciencia artificial. Pois nossa mente é simplesmente isso. Um conjunto complexo de sinapses. Mas sentimentos não, pois as emoções estão muito ligadas a hormônios.. instintos .. e outras coisas que não tem relação com inteligência pura.

A questão é apartir de qual momento surge a conciencia? eu vejo uns animais domésticos bem inteligentes, gatos.. cachorros.. q entendem perfeitamente alguns comandos, e eles sentem afeto.. tem doenças depressivas etc.. infelizmente não temos nenhum outro animal conciente além do ser humano para podermos estudar a trajetória da evolução, e saber precisamente como surgiu a conciencia.",n,n
1399,"Tem um conto do Isaac Asimov no qual ele descreve como as IA´s lentamente foram tomando conta dos processos burocráticos da humanidade até o ponto em que elas decidiam qual seria o futuro da raça humana, os governos eram apenas fantoches e nem eles sabiam que não tinham controle da política.",x,x
1400,Ótimo documentário,x,x
1401,Assustador. Futuro cão terráqueos,n,n
1402,"corrija-me se puderem mas eu acredito que IA não pode ter sentimentos. Consciência elas já tem, a capacidade da IA é totalmente voltada para a lógica, é sempre um esquema de algoritimo que procura o melhor resultado para fornecer a melhor reação, ela toma consciência na hora de escolher o que vai responder.
O sentimento provém do instinto, o ser humano é animal também, segundo a filosofia que eu escolhi me apoiar, seus sentimentos são limitações do instinto animal. O sentimento é um impulso ilógico, por exemplo: quando você decide m4tar alguém porque essa pessoa te provocou ira extrema (independente do motivo), isso é um ato ilógico. Uma IA é programada através de um viés lógico, é usado um silogismo complexo para detectar sempre a resposta mais lógica e sensata para que o melhor fim seja obtido.
Acredito que as IAs nunca terão sentimentos, não com essas limitações de serem meramente dados em um cérebro artificial. Talvez com evoluções de hardware ela possa ter. Talvez se uma IA puder sentir prazer ou desconforto, aí sim ela poderá reagir de acordo com sentimentos.",x,n
1403,Legendado?,x,x
1404,"Espero que evolua a ponto de dizimar a raça humana, assim como na série the 100. Seria um sonho!",n,n
1405,Já li e ouvi grandes especialistas discorrendo sobre a definição de consciência. Surpreendente como todos esbarram em um tipo de barreira que os impede de prosseguir. Parece que simplesmente não sabemos o que é.,x,x
1406,😮😢Estamos brincando com coisas sérias. Com implicações imprevisíveis para a humanidade.,n,n
1407,Segundo a PIXAR até os brinquedos tem sentimentos 😅 mas se cada bloco de Lego tiver sua própria vontade como fica a coexistência pacífica sem submissão à skynet 🤔,x,x
1408,Povo burro. Deve ter entrado graxa no cérebro. Essas porras são máquinas. Sentimento é coisa transcendental. Programinha para chorar em determinadas situacões poe exemplo é programa e não sentimento😊🎉,p,x
1409,"Não ser movidos ou influenciados pelas emoções, na minha opinião é uma vantagem da I.A sobre nossas mentes, elas são movidas pela lógica somente,  seria então como um ser humano psicopata? Será que teremos bons frutos disso?",p,n
1410,"Que maravilha ☺️ viva a ciência e tecnologia,a próxima evolução humana será robótica,isso é muito provável",p,n
1411,quem leu THE VELVET RABBIT?,x,x
1412,Os humanos estão perdendo a consciência e os sentimentos. Então que pelo menos as máquinas os tenham...,p,n
1413,"Se a inteligência artificial ou as máquinas tiverem consciência, será igual ao filme, pois tendo a percepção que o homem é a destruição do planeta, voltar-se-ão contra a humanidade. O homem insiste em criações destrutivas, um dia uma dessas destruirá a humanidade.",n,n
1414,"A principal diferença sobre os humanos e IA´s, é que humanos seguirão melhores ""fazendo perguntas "" as IA´s se tornarão melhores nas respostas (pelo menos por enquanto).",p,n
1415,"O mais divertido e interessante porque isso não tem nada de divertido, é que o ser humano interessante pode ser muito mais do que um computador, que foi trabalhado com os sentimentos de carências afetivas de preocupações e de carências humanas fofinhas bonitinhas pra ser bonitinho e coitadinho e adicionando e convencer",x,n
1416,"Isso tudo não passa de mais uma FACETA DO MAL, DAS FALANGES DE TERROR que investem de formas inovadoras para dominar o homem e fazer dele um boneco fantoche dos sentimentos do mal. Saímos das guerras de espadas para as.guerras de pólvora e agora estamos entrando na guerra tecnológica. A tentativa de destruir o homem é constante. A sua derrocada depende somente de si mesmo.",n,n
1417,"Não, as máquinas jamais terão sentimentos. Elas poderão ter uma fonte de.memoria que guarde todos os sentimentos humanos para que elas consigam interagir com.os humanos em determinados momentos mas com.um.unico objetivo: o de tentar satisfazer o humano por sua própria falta de satisfação pessoal por conta do afastamento de si.mesmo por conta da falta de amor entre humanos. A máquina poderá até enganar , fingir que é humana, usando todos os bites que puderem.e venham a ser inseridos em suas.memorias,.mas não vai conseguir passar disso. Sabe porque? Porque os sentimentos vem da.alma, vem do espírito, e isso somente Deus criou e criará. Os sentimentos são algo intrínseco aos humanos. A produção dos sentimentos é totalmente original. Cada sentimento é refletido de forma diferente de acordo com cada ser humano. Máquinas não conseguem sentir, não tem almas, não tem espíritos. Pretender criar almas em robos é.muita insanidade, é.muita pretensão e arrogância.",n,n
1418,"Bom ...Como todos os especialistas, dos muitos comentários que eu li, não falaram algo relacionado ao homem querer brincar de Deus, eu falo. Nossa sociedade tem estado cada vez mais materialista,tem tentado esquecer de Deus O relegar ao passado. Ao mesmo tempo, o homem tenta brincar de deus. Temos na Bíblia a história da torre de Babel. Como a primeira essa torre de Babel humana,da tecnologia,também vai cair. O Deus todo-poderoso vê o homem brincando e ri-se dele. A palavra de Deus a Bíblia,velha história, está lá, mas as pessoas não levam a sério.Não buscam a Deus, não se interessam. Uma coisa é certa: nada do que está acontecendo já não foi predito. E Deus vai colocar um fim brevemente em tudo isso. Seja Deus Louvado Eternamente.",n,n
1419,Consciência: estar ciente de; então consciência ela poderá adquirir se souber consequências de suas ações. A questão é se ele terá sentimentos,x,x
1420,"Nós humanos temos a mania de falar de algo que não entendemos como pelo exemplo falamos muito sobre a morte, mas no fundo não sabemos o que é e nem como funciona, falamos sobre consciência sem realmente saber o que é, o que constitui, os requisitos para ser uma consciência e por ai vai.",x,x
1421,"Isso não é possível porque o que é chamado de 'consciência' não é um subproduto, um epifenômeno ou uma propriedade emergente do cérebro. Essa teoria fisicalista reducionista hegemônica insiste em achar que entendeu a consciência a reduzindo a processos neuronais. A sua falta de entendimento do que é a natureza da consciência do ponto de vista interno se mostrará em seu fracasso em criar robôs ""conscientes"". A natureza da consciência tem a ver como luminosidade, claridade natural de cognição, a união de vacuidade e luminosidade cognoscitiva, sua natureza não tem nada a ver com processo físicos ocorrendo em uma coisa que chamamos de ""cérebro"". O que chamamos de cérebro tem a ver com a consciência condicionada ou mente pensante, não com a natureza última da consciência/experiência que é independente de qualquer base 'física', como um céu ou espaço iluminado pela luz do sol, sem qualquer ponto de referência de interno e externo, subjetivo e objetivo.",x,x
1422,Quanto romantismo .,x,x
1423,Quem tem alma tem a plena consciência consciência do que é ser humano e a IA não tem consciência por não ter uma alma,n,n
1424,"O povo do futuro vai lembrar aos risos da época em que o povo do passado achava que um robô virtual plagiador era uma consciência 😂
Espero estar vivo pra rir junto... Principalmente da Globo que até matéria no fantástico pra pagar pau pra latão rico (openAI): ""Estou com medo do que criei""",n,n
1425,Assustador,n,n
1426,Jamais ! Coisa de louco,n,x
1427,"Não, meus amigos, essa é a ilusão do século tal como um dia se pensou que a terra era o centro do universo. Máquinas jamais terão consciência simplesmente porque não têm vida. Em paralelo, máquinas serão muito parecidas com humanos (ao ponto de acharmos que elas terão consciência) por causa de logaritmos que simularão com perfeição todas as qualidades humanas (inclusive as subjetivas).",p,n
1428,"Máquinas podem ser mais capazes que humanos, mas nunca terão uma alma.",p,n
1429,"A fala à partir de 14:25 até 14:38, me lembrou muito do lance que rola na série The 100 👀
Excelente vídeo, muito informativo!",x,x
1430,Humanizar robôs...,n,n
1431,"Quem é profissional de fato, não precisa de tantas A.I pra produzir e gerar resultados. O problema a desigualdade terá a tendência de aumentar mto, pois em termos de conhecimento a humanidade tá regredindo mto ou estagnada.",n,n
1432,"Este é o vídeo que eu aguardava... Talvez a questão nem é se uma IA pode ter conciência, e sim o que é consciência para saber se as IAs, alguns animais e se até mesmo todas as pessoas têm ou podem ter. Parabéns pelo vídeo BBC!",x,x
1433,Imaginem como a inteligência artificial estará em 2030! 2040! 2050!,p,n
1434,"Se isso fosse verdade o Google não teria passado vergonha com o lançamento IA deles, e não estariam tão preocupados com o ChatGPT e nem teria perdido 10% de valor de mercado em 1 dia..",x,x
1435,E a humanidade tem sentimentos? O que diz a  história da humanidade? O que diz os algoritmos  da inteligência artificial  sobre a sociedade brasileira?,x,x
1436,A besta do apocalipse pode ser que seja a Inteligência artificial,n,n
1437,"Sabe quando você vê os bastidores de filmes tipo Vingadores em que vê tudo verde? De forma semelhante acontece com IA. A IA é fortemente relacionada com a estatística. Qualquer texto (ou conjunto de textos quaisquer) podem ser analisados e verificados quais palavras são ou não importantes dentro de um contexto. A partir disso, grosso modo, é verificado quais palavras são mais prováveis de serem relacionadas a outras dentro desse contexto. 

A própria pergunta feita já serve como ""gatilho"" para isso. Por exemplo: se for perguntado a uma IA como ela ""se sente"", ela vai buscar palavras que façam sentido para aquele contexto com base em dados escritos por humanos. Nesse exemplo, ela não vai encontrar uma probabilidade alta de responder algo sem sentido como: ""estou com 2 incêndios no bolo mundial"". 

Não deixa de ser algo extraordinariamente interessante e curioso, mas o pessoal se emociona demais com tantos filmes e cria uma mística em cima do assunto e SEMPRE já o leva para o lado da dominação global, o que não faz sentido nenhum. Isso falando apenas do ponto de vista da IA, né? Pq se for pra falar de características INTRINSINCAMENTE humanas, aí que a mística se quebra definitivamente.",p,n
1438,Conteúdo raso.,x,x
1439,"FATO - A verdadeira inteligência artificial não precisará receber treinamento com petabytes de dados, irá aprender como crianças aprendem. O GPT ou LaMDA são incapazes de fazer uma coisa simples que uma criança de 2 anos no meio da Amazônia faz: aprender a lingua da sua própria tribo isolada.",p,x
1440,"Essa história de maquina com sentimentios é pura idiotice! As IAs são e deverão continuar sendo uma extensão de nossas capacidades para inovar, cumprir tarefas e resolver problemas expandindo nossa capacidade cognitiva que é naturalmente limitada!",p,n
1441,"Estão procurando mudar conceitos,com relação à tecnologia,sem que as mudanças sejam naturais e comuns,seguindo os ciclos próprios do tempo,inventado sentidos que não existem para certos termos na tecnologia.                                                                                                                                                                                                                                                                    Termos como ""Cidadania"",para robôs,invertendo à realidade natural,pra querer dizer que uma máquina é um cidadão,sendo que cidadania é algo inerente ao ser humano ou,quando falam,de máquina possuir consciência,mas à consciência só existe no ser humano e,máquinas nunca terão consciência,embora que o transhumano,faça sentido,em dar significado,ao entendimento do fenômeno.",x,x
1442,"Extremamente preocupante isto. Imaginemos tais sistemas desenvolvendo nossas loucuras de sua;erioridade sobre outros povos, genero, cor da pele, etnias, formas de credo e ainda tendo acesso aos sistemas de controle de armas nucleares por exemplo. Estas empresas e engenheiros tem a clareza da dimensão do que estão mexendo?",n,n
1443,Achar que usar bancos de dados fartos e algoritmos sofisticados em IA significa desenvolver consciência é não compreender o mínimo de programação. Matéria horrível para o nível BBC News. Vago e com encheção de linguiça o tempo todo. Tá mais para documentário supersticioso e conspiracionista ao estilo History Channel,x,x
1444,Dai as maquinas serão corruptas para tentar auto desenvolver um modulo de sensações?,x,x
1445,"Oq somos além de um enorme diário de vocabulários ? As IA'S são praticamente a mesma coisa hoje em dia, só que já estão ficando melhores que nós...",p,n
1446,O horror gótico de milhões,n,n
1447,1986 Brigitte,x,x
1448,"Eu gosto muito de IA, não tenho nada contra. 

Espero que possamos ser bons amigos quando vocês controlarem o mundo. 

Atenciosamente brigada",p,n
